Timestamp,UNIX,Apparent (VA),Active (W),fridge,aircond,washing_machine,dryer,kettle,vacuum,water_heater,oven
2022-11-10 11:54:36,1668052476,35.81,23.97,0.0,0.0,19.68,0.21,0.0,0.0,0.0,0.0
2022-11-10 11:54:37,1668052477,35.87,24.0,0.0,0.0,19.81,0.14,0.0,0.0,0.0,0.0
2022-11-10 11:54:38,1668052478,35.89,24.11,0.0,0.0,19.81,0.15,0.0,0.0,0.0,0.0
2022-11-10 11:54:39,1668052479,35.98,24.02,0.0,0.0,19.59,0.14,0.0,0.0,0.0,0.0
2022-11-10 11:54:40,1668052480,35.64,23.89,0.0,0.0,19.61,0.22,0.0,0.0,0.0,0.0
2022-11-10 11:54:41,1668052481,34.87,23.52,0.0,0.0,19.75,0.13,0.0,0.0,0.0,0.0
2022-11-10 11:54:42,1668052482,35.14,23.83,0.0,0.0,19.47,0.13,0.0,0.0,0.0,0.0
2022-11-10 11:54:43,1668052483,34.96,23.74,0.0,0.0,19.73,0.09,0.0,0.0,0.0,0.0
2022-11-10 11:54:44,1668052484,35.08,23.75,0.0,0.0,19.56,0.08,0.0,0.0,0.0,0.0
2022-11-10 11:54:45,1668052485,35.43,23.85,0.0,0.0,19.71,0.09,0.0,0.0,0.0,0.0
2022-11-10 11:54:46,1668052486,35.22,23.88,0.0,0.0,19.72,0.07,0.0,0.0,0.0,0.0
2022-11-10 11:54:47,1668052487,35.06,23.78,0.0,0.0,19.61,0.07,0.0,0.0,0.0,0.0
2022-11-10 11:54:48,1668052488,35.18,23.67,0.0,0.0,19.64,0.07,0.0,0.0,0.0,0.0
2022-11-10 11:54:49,1668052489,34.81,23.63,0.0,0.0,19.98,0.07,0.0,0.0,0.0,0.0
2022-11-10 11:54:50,1668052490,34.98,23.67,0.0,0.0,19.96,0.12,0.0,0.0,0.0,0.0
2022-11-10 11:54:51,1668052491,35.18,23.75,0.0,0.0,19.86,0.07,0.0,0.0,0.0,0.0
2022-11-10 11:54:52,1668052492,53.99,40.71,0.0,0.0,19.78,17.61,0.0,0.0,0.0,0.0
2022-11-10 11:54:53,1668052493,53.19,37.43,0.0,0.0,19.74,14.15,0.0,0.0,0.0,0.0
2022-11-10 11:54:54,1668052494,53.75,37.85,0.0,0.0,19.55,14.47,0.0,0.0,0.0,0.0
2022-11-10 11:54:55,1668052495,53.18,37.71,0.0,0.0,19.18,14.78,0.0,0.0,0.0,0.0
2022-11-10 11:54:56,1668052496,49.7,39.37,0.0,0.0,19.26,14.69,0.0,0.0,0.0,0.0
2022-11-10 11:54:57,1668052497,44.05,36.55,0.0,0.0,19.5,14.78,0.0,0.0,0.0,0.0
2022-11-10 11:54:58,1668052498,43.46,36.22,0.0,0.0,19.1,14.57,0.0,0.0,0.0,0.0
2022-11-10 11:54:59,1668052499,43.57,36.15,0.0,0.0,19.28,14.65,0.0,0.0,0.0,0.0
2022-11-10 11:55:00,1668052500,44.28,36.78,0.0,0.0,19.48,14.84,0.0,0.0,0.0,0.0
2022-11-10 11:55:01,1668052501,45.21,37.51,0.0,0.0,19.14,15.39,0.0,0.0,0.0,0.0
2022-11-10 11:55:02,1668052502,369.15,358.99,0.0,0.0,20.1,333.17,0.0,0.0,0.0,0.0
2022-11-10 11:55:03,1668052503,403.73,389.71,0.0,0.0,20.1,369.64,0.0,0.0,0.0,0.0
2022-11-10 11:55:04,1668052504,284.4,277.46,0.0,0.0,20.11,263.39,0.0,0.0,0.0,0.0
2022-11-10 11:55:05,1668052505,171.78,164.83,0.0,0.0,19.52,150.51,0.0,0.0,0.0,0.0
2022-11-10 11:55:06,1668052506,173.41,166.4,0.0,0.0,19.63,151.74,0.0,0.0,0.0,0.0
2022-11-10 11:55:07,1668052507,172.79,165.59,0.0,0.0,19.92,151.06,0.0,0.0,0.0,0.0
2022-11-10 11:55:08,1668052508,174.31,166.84,0.0,0.0,19.85,152.52,0.0,0.0,0.0,0.0
2022-11-10 11:55:09,1668052509,172.85,165.4,0.0,0.0,19.99,151.24,0.0,0.0,0.0,0.0
2022-11-10 11:55:10,1668052510,792.23,786.64,0.0,0.0,20.66,774.03,0.0,0.0,0.0,0.0
2022-11-10 11:55:11,1668052511,1982.33,1980.58,0.0,0.0,23.22,1971.48,0.0,0.0,0.0,0.0
2022-11-10 11:55:12,1668052512,1962.44,1960.68,0.0,0.0,23.27,1951.32,0.0,0.0,0.0,0.0
2022-11-10 11:55:13,1668052513,1948.08,1946.28,0.0,0.0,23.15,1937.16,0.0,0.0,0.0,0.0
2022-11-10 11:55:14,1668052514,1933.76,1932.02,0.0,0.0,23.18,1922.84,0.0,0.0,0.0,0.0
2022-11-10 11:55:15,1668052515,1923.4,1921.62,0.0,0.0,23.23,1912.3,0.0,0.0,0.0,0.0
2022-11-10 11:55:16,1668052516,1915.62,1913.87,0.0,0.0,23.26,1904.82,0.0,0.0,0.0,0.0
2022-11-10 11:55:17,1668052517,1910.74,1908.97,0.0,0.0,23.23,1900.0,0.0,0.0,0.0,0.0
2022-11-10 11:55:18,1668052518,1906.65,1904.9,0.0,0.0,23.23,1895.54,0.0,0.0,0.0,0.0
2022-11-10 11:55:19,1668052519,1902.27,1900.51,0.0,0.0,23.19,1890.99,0.0,0.0,0.0,0.0
2022-11-10 11:55:20,1668052520,1531.31,1528.22,0.0,0.0,22.61,1518.08,0.0,0.0,0.0,0.0
2022-11-10 11:55:21,1668052521,185.37,180.7,0.0,0.0,20.04,168.64,0.0,0.0,0.0,0.0
2022-11-10 11:55:22,1668052522,187.19,183.55,0.0,0.0,19.71,171.93,0.0,0.0,0.0,0.0
2022-11-10 11:55:23,1668052523,187.71,184.01,0.0,0.0,19.87,172.44,0.0,0.0,0.0,0.0
2022-11-10 11:55:24,1668052524,186.89,183.19,0.0,0.0,19.77,171.72,0.0,0.0,0.0,0.0
2022-11-10 11:55:25,1668052525,187.78,184.11,0.0,0.0,19.84,172.6,0.0,0.0,0.0,0.0
2022-11-10 11:55:26,1668052526,186.77,183.14,0.0,0.0,19.74,171.67,0.0,0.0,0.0,0.0
2022-11-10 11:55:27,1668052527,185.86,182.2,0.0,0.0,19.71,170.71,0.0,0.0,0.0,0.0
2022-11-10 11:55:28,1668052528,186.51,182.89,0.0,0.0,19.54,171.19,0.0,0.0,0.0,0.0
2022-11-10 11:55:29,1668052529,186.67,182.92,0.0,0.0,19.72,171.38,0.0,0.0,0.0,0.0
2022-11-10 11:55:30,1668052530,374.83,367.07,0.0,0.0,19.74,356.03,0.0,0.0,0.0,0.0
2022-11-10 11:55:31,1668052531,1990.49,1989.94,0.0,0.0,23.3,1981.03,0.0,0.0,0.0,0.0
2022-11-10 11:55:32,1668052532,1971.02,1970.46,0.0,0.0,23.35,1961.05,0.0,0.0,0.0,0.0
2022-11-10 11:55:33,1668052533,1957.37,1956.81,0.0,0.0,23.23,1947.78,0.0,0.0,0.0,0.0
2022-11-10 11:55:34,1668052534,1946.16,1945.62,0.0,0.0,23.15,1936.51,0.0,0.0,0.0,0.0
2022-11-10 11:55:35,1668052535,1936.71,1936.16,0.0,0.0,23.02,1927.33,0.0,0.0,0.0,0.0
2022-11-10 11:55:36,1668052536,1931.98,1931.43,0.0,0.0,23.29,1922.28,0.0,0.0,0.0,0.0
2022-11-10 11:55:37,1668052537,1924.53,1923.98,0.0,0.0,23.11,1914.81,0.0,0.0,0.0,0.0
2022-11-10 11:55:38,1668052538,1919.64,1919.1,0.0,0.0,23.21,1910.4,0.0,0.0,0.0,0.0
2022-11-10 11:55:39,1668052539,1916.71,1916.16,0.0,0.0,23.2,1906.96,0.0,0.0,0.0,0.0
2022-11-10 11:55:40,1668052540,1913.49,1912.9,0.0,0.0,23.12,1903.51,0.0,0.0,0.0,0.0
2022-11-10 11:55:41,1668052541,187.72,183.83,0.0,0.0,19.8,172.41,0.0,0.0,0.0,0.0
2022-11-10 11:55:42,1668052542,187.41,183.58,0.0,0.0,19.55,171.8,0.0,0.0,0.0,0.0
2022-11-10 11:55:43,1668052543,186.98,183.21,0.0,0.0,19.8,171.42,0.0,0.0,0.0,0.0
2022-11-10 11:55:44,1668052544,186.49,182.65,0.0,0.0,19.55,170.68,0.0,0.0,0.0,0.0
2022-11-10 11:55:45,1668052545,186.88,183.11,0.0,0.0,19.52,171.48,0.0,0.0,0.0,0.0
2022-11-10 11:55:46,1668052546,186.82,183.05,0.0,0.0,19.75,171.01,0.0,0.0,0.0,0.0
2022-11-10 11:55:47,1668052547,186.52,182.82,0.0,0.0,19.72,171.03,0.0,0.0,0.0,0.0
2022-11-10 11:55:48,1668052548,187.08,183.3,0.0,0.0,19.6,171.45,0.0,0.0,0.0,0.0
2022-11-10 11:55:49,1668052549,186.53,182.64,0.0,0.0,19.53,170.81,0.0,0.0,0.0,0.0
2022-11-10 11:55:50,1668052550,185.9,181.99,0.0,0.0,19.82,170.39,0.0,0.0,0.0,0.0
2022-11-10 11:55:51,1668052551,2228.77,2224.46,0.0,0.0,22.88,2216.64,0.0,0.0,0.0,0.0
2022-11-10 11:55:52,1668052552,2811.91,2811.27,0.0,0.0,23.99,2803.95,0.0,0.0,0.0,0.0
2022-11-10 11:55:53,1668052553,2791.61,2790.98,0.0,0.0,23.89,2783.55,0.0,0.0,0.0,0.0
2022-11-10 11:55:54,1668052554,2772.62,2772.0,0.0,0.0,23.94,2764.73,0.0,0.0,0.0,0.0
2022-11-10 11:55:55,1668052555,2759.43,2758.81,0.0,0.0,23.77,2751.3,0.0,0.0,0.0,0.0
2022-11-10 11:55:56,1668052556,2751.51,2750.88,0.0,0.0,23.85,2743.37,0.0,0.0,0.0,0.0
2022-11-10 11:55:57,1668052557,2738.42,2737.8,0.0,0.0,23.72,2730.51,0.0,0.0,0.0,0.0
