Timestamp,UNIX,Apparent (VA),Active (W),kettle,vacuum,water_heater,oven,fridge,washing_machine,dryer,aircond
2022-11-07 16:01:27,1667808087,202.44,115.69,0.0,0.0,0.0,0.0,116.45,0.0,0.0,0.01
2022-11-07 16:01:28,1667808088,202.52,115.69,0.0,0.0,0.0,0.0,116.49,0.0,0.0,0.0
2022-11-07 16:01:29,1667808089,202.95,116.81,0.0,0.0,0.0,0.0,117.67,0.0,0.0,0.0
2022-11-07 16:01:30,1667808090,202.75,116.9,0.0,0.0,0.0,0.0,117.42,0.0,0.0,0.0
2022-11-07 16:01:31,1667808091,201.39,115.93,0.0,0.0,0.0,0.0,116.75,0.0,0.0,0.0
2022-11-07 16:01:32,1667808092,201.76,116.13,0.0,0.0,0.0,0.0,116.92,0.0,0.0,0.0
2022-11-07 16:01:33,1667808093,201.58,116.77,0.0,0.0,0.0,0.0,117.35,0.0,0.0,0.01
2022-11-07 16:01:34,1667808094,201.57,116.03,0.0,0.0,0.0,0.0,116.96,0.0,0.0,0.0
2022-11-07 16:01:35,1667808095,201.36,116.6,0.0,0.0,0.0,0.0,117.34,0.0,0.0,0.0
2022-11-07 16:01:36,1667808096,202.06,116.85,0.0,0.0,0.0,0.0,117.51,0.0,0.0,0.01
2022-11-07 16:01:37,1667808097,201.31,116.45,0.0,0.0,0.0,0.0,117.18,0.0,0.0,0.0
2022-11-07 16:01:38,1667808098,201.07,116.49,0.0,0.0,0.0,0.0,117.16,0.0,0.0,0.0
2022-11-07 16:01:39,1667808099,200.4,116.55,0.0,0.0,0.0,0.0,117.07,0.0,0.0,0.0
2022-11-07 16:01:40,1667808100,201.24,115.92,0.0,0.0,0.0,0.0,116.7,0.0,0.0,0.01
2022-11-07 16:01:41,1667808101,201.75,116.51,0.0,0.0,0.0,0.0,117.18,0.0,0.0,0.0
2022-11-07 16:01:42,1667808102,202.22,115.95,0.0,0.0,0.0,0.0,116.56,0.0,0.0,0.0
2022-11-07 16:01:43,1667808103,202.11,116.13,0.0,0.0,0.0,0.0,116.69,0.0,0.0,0.0
2022-11-07 16:01:44,1667808104,202.06,116.45,0.0,0.0,0.0,0.0,117.26,0.0,0.0,0.0
2022-11-07 16:01:45,1667808105,217.22,122.32,0.0,0.0,0.0,0.0,117.09,0.0,0.0,8.72
2022-11-07 16:01:46,1667808106,204.55,112.59,0.0,0.0,0.0,0.0,117.05,0.0,0.0,2.89
2022-11-07 16:01:47,1667808107,358.11,265.31,0.0,0.0,0.0,0.0,116.45,0.0,0.0,154.2
2022-11-07 16:01:48,1667808108,221.03,138.81,0.0,0.0,0.0,0.0,116.97,0.0,0.0,22.84
2022-11-07 16:01:49,1667808109,211.73,131.13,0.0,0.0,0.0,0.0,116.83,0.0,0.0,13.84
2022-11-07 16:01:50,1667808110,210.4,130.01,0.0,0.0,0.0,0.0,116.43,0.0,0.0,11.97
2022-11-07 16:01:51,1667808111,210.87,131.35,0.0,0.0,0.0,0.0,117.22,0.0,0.0,12.84
2022-11-07 16:01:52,1667808112,209.9,130.75,0.0,0.0,0.0,0.0,117.02,0.0,0.0,12.79
2022-11-07 16:01:53,1667808113,210.11,131.15,0.0,0.0,0.0,0.0,117.14,0.0,0.0,12.69
2022-11-07 16:01:54,1667808114,209.21,130.27,0.0,0.0,0.0,0.0,116.65,0.0,0.0,12.54
2022-11-07 16:01:55,1667808115,210.05,130.45,0.0,0.0,0.0,0.0,117.0,0.0,0.0,11.89
2022-11-07 16:01:56,1667808116,210.67,130.58,0.0,0.0,0.0,0.0,116.88,0.0,0.0,12.36
2022-11-07 16:01:57,1667808117,211.28,130.87,0.0,0.0,0.0,0.0,117.1,0.0,0.0,12.19
2022-11-07 16:01:58,1667808118,212.21,130.48,0.0,0.0,0.0,0.0,116.9,0.0,0.0,11.9
2022-11-07 16:01:59,1667808119,212.05,130.44,0.0,0.0,0.0,0.0,116.62,0.0,0.0,12.23
2022-11-07 16:02:00,1667808120,211.86,130.21,0.0,0.0,0.0,0.0,116.72,0.0,0.0,11.96
2022-11-07 16:02:01,1667808121,211.62,129.71,0.0,0.0,0.0,0.0,116.44,0.0,0.0,11.53
2022-11-07 16:02:02,1667808122,212.29,130.42,0.0,0.0,0.0,0.0,117.15,0.0,0.0,11.78
2022-11-07 16:02:03,1667808123,212.96,130.99,0.0,0.0,0.0,0.0,117.55,0.0,0.0,11.78
