Sample Rate,Sequence Length,Metric,Appliance,Seq2Point,Seq2Seq
3,99,nde,washing machine,0.973752,0.991381
3,99,rmse,air conditioner,531.611906,417.78626
3,99,rmse,electric water heating appliance,906.71233,899.185673
3,99,rmse,fridge,53.419928,53.703214
3,99,rmse,kettle,623.081731,371.405418
3,99,rmse,oven,667.389738,643.833174
3,99,rmse,tumble dryer,552.494796,512.413712
3,99,rmse,vacuum cleaner,426.801897,433.618406
3,99,rmse,washing machine,29.959729,30.502114
3,199,f1score,air conditioner,0.0,0.0
3,199,f1score,electric water heating appliance,0.068854,0.099042
3,199,f1score,fridge,0.166834,0.0
3,199,f1score,kettle,0.113778,0.136543
3,199,f1score,oven,0.123295,0.084522
3,199,f1score,tumble dryer,0.379461,0.378415
3,199,f1score,vacuum cleaner,0.045981,0.081181
3,199,f1score,washing machine,0.395846,0.389199
3,199,mae,air conditioner,191.584656,177.356323
3,199,mae,electric water heating appliance,267.156921,281.104156
3,199,mae,fridge,29.736662,32.509586
3,199,mae,kettle,202.775497,175.051743
3,199,mae,oven,273.30365,234.668213
3,199,mae,tumble dryer,217.414902,212.364441
3,199,mae,vacuum cleaner,115.844902,124.291931
3,199,mae,washing machine,17.520702,19.902205
3,199,nde,air conditioner,inf,inf
3,199,nde,electric water heating appliance,1.001762,1.038204
3,199,nde,fridge,0.964117,1.048705
3,199,nde,kettle,1.736826,1.450338
3,199,nde,oven,1.204111,1.059452
3,199,nde,tumble dryer,0.945758,0.752274
3,199,nde,vacuum cleaner,0.993113,1.017596
3,199,nde,washing machine,0.931777,1.027366
3,199,rmse,air conditioner,492.077992,379.63708
3,199,rmse,electric water heating appliance,911.604732,944.766472
3,199,rmse,fridge,52.188225,56.767031
3,199,rmse,kettle,526.731549,439.847381
3,199,rmse,oven,704.686433,620.026738
3,199,rmse,tumble dryer,543.053548,431.95522
3,199,rmse,vacuum cleaner,448.28632,459.337515
3,199,rmse,washing machine,28.668267,31.609289
3,599,f1score,air conditioner,0.0,0.0
3,599,f1score,electric water heating appliance,0.172115,0.108855
3,599,f1score,fridge,0.131667,0.005015
3,599,f1score,kettle,0.103655,0.091486
3,599,f1score,oven,0.082732,0.106096
3,599,f1score,tumble dryer,0.624157,0.406342
3,599,f1score,vacuum cleaner,0.238901,0.227273
3,599,f1score,washing machine,0.352958,0.381071
3,599,mae,air conditioner,222.125977,146.781616
3,599,mae,electric water heating appliance,244.997757,257.595215
3,599,mae,fridge,31.097624,27.524433
3,599,mae,kettle,246.40274,149.353424
3,599,mae,oven,210.03302,216.569077
3,599,mae,tumble dryer,216.152786,221.455811
