Timestamp,UNIX,Active (W),Apparent (VA),fridge,aircond,washing_machine,dryer,kettle,vacuum,water_heater,oven
2022-11-10 11:53:42,1668052422,18.60333333333333,30.73333333333333,0.0,0.0,11.116666666666667,0.15,0.0,0.0,0.0,0.0
2022-11-10 11:53:45,1668052425,18.843333333333334,30.776666666666667,0.0,0.0,11.11,0.1533333333333333,0.0,0.0,0.0,0.0
2022-11-10 11:53:48,1668052428,18.8,30.82333333333333,0.0,0.0,11.013333333333334,0.1766666666666666,0.0,0.0,0.0,0.0
2022-11-10 11:53:51,1668052431,32.70666666666667,45.20666666666667,0.0,0.0,25.96333333333333,0.15,0.0,0.0,0.0,0.0
2022-11-10 11:53:54,1668052434,28.036666666666665,42.07666666666666,0.0,0.0,22.070000000000004,0.15,0.0,0.0,0.0,0.0
2022-11-10 11:53:57,1668052437,43.60333333333333,60.56,0.0,0.0,38.373333333333335,0.2133333333333333,0.0,0.0,0.0,0.0
2022-11-10 11:54:00,1668052440,35.04333333333333,50.17000000000001,0.0,0.0,29.563333333333333,0.19,0.0,0.0,0.0,0.0
2022-11-10 11:54:03,1668052443,33.943333333333335,48.43,0.0,0.0,29.433333333333334,0.1933333333333333,0.0,0.0,0.0,0.0
2022-11-10 11:54:06,1668052446,23.87333333333333,35.65,0.0,0.0,20.15,0.1566666666666666,0.0,0.0,0.0,0.0
2022-11-10 11:54:09,1668052449,23.89,35.61,0.0,0.0,20.076666666666668,0.1533333333333333,0.0,0.0,0.0,0.0
2022-11-10 11:54:12,1668052452,23.886666666666667,35.60333333333333,0.0,0.0,20.07333333333333,0.11,0.0,0.0,0.0,0.0
2022-11-10 11:54:15,1668052455,23.663333333333338,35.25333333333333,0.0,0.0,20.05333333333333,0.1099999999999999,0.0,0.0,0.0,0.0
2022-11-10 11:54:18,1668052458,23.673333333333336,35.15,0.0,0.0,19.976666666666667,0.1033333333333333,0.0,0.0,0.0,0.0
2022-11-10 11:54:21,1668052461,23.67333333333333,35.23,0.0,0.0,19.926666666666662,0.09,0.0,0.0,0.0,0.0
2022-11-10 11:54:24,1668052464,23.78333333333333,35.45,0.0,0.0,19.85333333333333,0.1366666666666666,0.0,0.0,0.0,0.0
2022-11-10 11:54:27,1668052467,23.91,35.67666666666667,0.0,0.0,19.816666666666663,0.2066666666666666,0.0,0.0,0.0,0.0
2022-11-10 11:54:30,1668052470,23.78,35.580000000000005,0.0,0.0,19.91,0.21,0.0,0.0,0.0,0.0
