Timestamp,kettle,vacuum,water_heater,oven,fridge,washing_machine,dryer,aircond
2022-09-29 10:40:33,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
2022-09-29 10:40:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:42,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
2022-09-29 10:40:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:40:58,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
2022-09-29 10:40:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:02,1537.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:03,2167.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:04,2166.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:05,2163.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:06,2167.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:07,2167.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:08,2167.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:09,2168.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:10,2168.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:11,2166.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:12,2165.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:13,2168.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:14,2166.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:15,2167.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:16,2166.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:17,2168.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:18,2166.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:19,2168.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:20,2167.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:21,2167.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:22,2168.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:23,2167.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:24,2166.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:25,2165.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:26,2166.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:27,2166.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:28,2161.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:29,2159.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:30,2159.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:31,2160.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-29 10:41:32,2140.43,0.0,0.0,1787.87,0.0,0.0,0.0,0.0
2022-09-29 10:41:33,2141.82,0.0,0.0,2236.9,0.0,0.0,0.0,0.0
2022-09-29 10:41:34,2144.93,0.0,0.0,2238.51,0.0,0.0,0.0,0.0
2022-09-29 10:41:35,2143.13,0.0,0.0,2234.43,0.0,0.0,0.0,0.0
2022-09-29 10:41:36,2143.08,0.0,0.0,2232.52,0.0,0.0,0.0,0.0
2022-09-29 10:41:37,2144.71,0.0,0.0,2233.48,0.0,0.0,0.0,0.0
2022-09-29 10:41:38,2144.85,0.0,0.0,2232.49,0.0,0.0,0.0,0.0
2022-09-29 10:41:39,2143.84,0.0,0.0,2230.41,0.0,0.0,0.0,0.0
2022-09-29 10:41:40,2145.78,0.0,0.0,2231.65,0.0,0.0,0.0,0.0
2022-09-29 10:41:41,2146.16,0.0,0.0,2230.86,0.0,0.0,0.0,0.0
