Timestamp,Apparent (VA),Active (W)
2022-11-09 12:30:59,20.89,11.54
2022-11-09 12:31:00,20.71,11.3
2022-11-09 12:31:01,20.48,11.37
2022-11-09 12:31:02,20.74,11.38
2022-11-09 12:31:03,20.43,11.1
2022-11-09 12:31:04,20.54,11.19
2022-11-09 12:31:05,29.54,15.75
2022-11-09 12:31:06,17.19,9.34
2022-11-09 12:31:07,16.72,8.56
2022-11-09 12:31:08,131.11,116.08
2022-11-09 12:31:09,87.08,72.59
2022-11-09 12:31:10,38.87,29.26
2022-11-09 12:31:11,37.04,27.1
2022-11-09 12:31:12,36.37,25.93
2022-11-09 12:31:13,37.18,27.21
2022-11-09 12:31:14,36.96,26.85
2022-11-09 12:31:15,36.48,26.3
2022-11-09 12:31:16,36.37,26.08
2022-11-09 12:31:17,35.99,25.54
2022-11-09 12:31:18,36.33,26.11
2022-11-09 12:31:19,36.52,26.21
2022-11-09 12:31:20,36.47,26.0
2022-11-09 12:31:21,36.59,26.3
2022-11-09 12:31:22,41.35,32.48
2022-11-09 12:31:23,50.79,41.25
2022-11-09 12:31:24,51.52,41.74
2022-11-09 12:31:25,53.27,43.3
2022-11-09 12:31:26,52.88,42.9
2022-11-09 12:31:27,102.29,88.21
2022-11-09 12:31:28,63.54,51.81
2022-11-09 12:31:29,73.91,60.92
2022-11-09 12:31:30,65.91,53.71
2022-11-09 12:31:31,102.83,83.4
2022-11-09 12:31:32,69.74,56.95
2022-11-09 12:31:33,95.13,77.26
2022-11-09 12:31:34,70.85,57.91
2022-11-09 12:31:35,95.16,77.39
2022-11-09 12:31:36,70.4,57.46
2022-11-09 12:31:37,96.03,77.93
2022-11-09 12:31:38,69.97,57.14
2022-11-09 12:31:39,65.91,52.72
2022-11-09 12:31:40,65.8,52.78
2022-11-09 12:31:41,65.64,52.55
2022-11-09 12:31:42,65.59,52.67
2022-11-09 12:31:43,65.71,52.74
2022-11-09 12:31:44,65.52,52.5
2022-11-09 12:31:45,65.43,52.52
2022-11-09 12:31:46,65.79,52.84
2022-11-09 12:31:47,65.6,52.53
2022-11-09 12:31:48,65.68,52.84
2022-11-09 12:31:49,65.51,52.75
2022-11-09 12:31:50,65.7,52.91
2022-11-09 12:31:51,65.88,53.0
2022-11-09 12:31:52,65.55,52.68
2022-11-09 12:31:53,65.46,52.76
2022-11-09 12:31:54,65.81,52.96
2022-11-09 12:31:55,66.03,53.03
2022-11-09 12:31:56,66.08,53.06
2022-11-09 12:31:57,65.47,52.55
2022-11-09 12:31:58,65.59,52.74
2022-11-09 12:31:59,65.77,52.77
2022-11-09 12:32:00,65.46,52.61
2022-11-09 12:32:01,65.45,52.5
2022-11-09 12:32:02,65.57,52.48
2022-11-09 12:32:03,65.89,52.78
2022-11-09 12:32:04,65.64,52.74
2022-11-09 12:32:05,65.42,52.66
2022-11-09 12:32:06,65.58,52.71
2022-11-09 12:32:07,65.35,52.76
2022-11-09 12:32:08,65.28,52.62
2022-11-09 12:32:09,65.41,52.67
2022-11-09 12:32:10,65.67,52.96
2022-11-09 12:32:11,65.17,52.58
2022-11-09 12:32:12,64.88,52.35
2022-11-09 12:32:13,65.48,52.71
2022-11-09 12:32:14,65.28,52.6
2022-11-09 12:32:15,65.46,52.77
2022-11-09 12:32:16,65.11,52.51
2022-11-09 12:32:17,65.47,52.72
2022-11-09 12:32:18,65.46,52.92
2022-11-09 12:32:19,65.25,52.73
2022-11-09 12:32:20,65.48,52.84
2022-11-09 12:32:21,65.17,52.66
2022-11-09 12:32:22,65.07,52.7
2022-11-09 12:32:23,65.81,53.0
2022-11-09 12:32:24,65.53,52.79
2022-11-09 12:32:25,65.39,52.86
2022-11-09 12:32:26,65.55,52.77
2022-11-09 12:32:27,65.75,52.96
2022-11-09 12:32:28,65.69,53.14
2022-11-09 12:32:29,65.49,52.88
2022-11-09 12:32:30,65.8,53.05
2022-11-09 12:32:31,66.03,53.14
2022-11-09 12:32:32,65.69,52.99
2022-11-09 12:32:33,65.58,52.89
2022-11-09 12:32:34,65.79,52.97
2022-11-09 12:32:35,65.82,53.03
2022-11-09 12:32:36,65.41,52.59
2022-11-09 12:32:37,65.77,52.83
2022-11-09 12:32:38,65.89,53.04
2022-11-09 12:32:39,65.77,53.1
2022-11-09 12:32:40,65.9,53.07
2022-11-09 12:32:41,65.75,53.03
2022-11-09 12:32:42,65.97,53.36
2022-11-09 12:32:43,66.23,53.19
2022-11-09 12:32:44,66.09,53.07
2022-11-09 12:32:45,66.18,53.2
2022-11-09 12:32:46,66.22,53.09
2022-11-09 12:32:47,66.36,53.27
2022-11-09 12:32:48,66.04,52.86
2022-11-09 12:32:49,65.96,52.74
2022-11-09 12:32:50,65.72,52.68
2022-11-09 12:32:51,65.59,52.73
2022-11-09 12:32:52,65.57,52.68
2022-11-09 12:32:53,65.44,52.44
2022-11-09 12:32:54,65.25,52.27
2022-11-09 12:32:55,65.28,52.41
2022-11-09 12:32:56,65.32,52.33
2022-11-09 12:32:57,65.36,52.37
2022-11-09 12:32:58,65.49,52.31
2022-11-09 12:32:59,65.56,52.64
2022-11-09 12:33:00,65.68,52.67
2022-11-09 12:33:01,65.43,52.4
2022-11-09 12:33:02,65.66,52.63
2022-11-09 12:33:03,65.36,52.31
2022-11-09 12:33:04,65.58,52.41
2022-11-09 12:33:05,65.4,52.39
