Timestamp,dryer,kettle,vacuum,water_heater,oven,fridge,washing_machine,aircond
2022-11-09 10:01:06,174.59,0.0,0.0,0.0,0.0,65.12,0.0,0.0
2022-11-09 10:01:07,173.96,0.0,0.0,0.0,0.0,65.31,0.0,0.0
2022-11-09 10:01:08,173.84,0.0,0.0,0.0,0.0,65.37,0.0,0.0
2022-11-09 10:01:09,173.85,0.0,0.0,0.0,0.0,65.14,0.0,0.0
2022-11-09 10:01:10,174.62,0.0,0.0,0.0,0.0,65.09,0.0,0.0
2022-11-09 10:01:11,173.64,0.0,0.0,0.0,0.0,65.26,0.0,0.0
2022-11-09 10:01:12,174.24,0.0,0.0,0.0,0.0,65.63,0.0,0.0
2022-11-09 10:01:13,174.94,0.0,0.0,0.0,0.0,65.12,0.0,0.0
2022-11-09 10:01:14,746.22,0.0,0.0,0.0,0.0,64.95,0.0,0.0
2022-11-09 10:01:15,2698.58,0.0,0.0,0.0,0.0,64.68,0.0,0.0
2022-11-09 10:01:16,2841.95,0.0,0.0,0.0,0.0,64.6,0.0,0.0
2022-11-09 10:01:17,2821.45,0.0,0.0,0.0,0.0,64.54,0.0,0.0
2022-11-09 10:01:18,2807.44,0.0,0.0,0.0,0.0,64.36,0.0,0.0
2022-11-09 10:01:19,2794.47,0.0,0.0,0.0,0.0,64.33,0.0,0.0
2022-11-09 10:01:20,2784.79,0.0,0.0,0.0,0.0,64.66,0.0,0.0
2022-11-09 10:01:21,2776.96,0.0,0.0,0.0,0.0,64.66,0.0,0.0
2022-11-09 10:01:22,2769.91,0.0,0.0,0.0,0.0,64.46,0.0,0.0
2022-11-09 10:01:23,2767.89,0.0,0.0,0.0,0.0,64.96,0.0,0.0
2022-11-09 10:01:24,2761.77,0.0,0.0,0.0,0.0,65.0,0.0,0.0
2022-11-09 10:01:25,2749.17,0.0,0.0,0.0,0.0,64.97,0.0,0.0
2022-11-09 10:01:26,2749.31,0.0,0.0,0.0,0.0,64.68,0.0,0.0
2022-11-09 10:01:27,2747.31,0.0,0.0,0.0,0.0,64.75,0.0,0.0
2022-11-09 10:01:28,2745.26,0.0,0.0,0.0,0.0,64.42,0.0,0.0
2022-11-09 10:01:29,2743.38,0.0,0.0,0.0,0.0,64.76,0.0,0.0
2022-11-09 10:01:30,2739.34,0.0,0.0,0.0,0.0,64.94,0.0,0.0
2022-11-09 10:01:31,2739.24,0.0,0.0,0.0,0.0,64.7,0.0,0.0
2022-11-09 10:01:32,2739.94,0.0,0.0,0.0,0.0,64.74,0.0,0.0
2022-11-09 10:01:33,2739.66,0.0,0.0,0.0,0.0,64.83,0.0,0.0
2022-11-09 10:01:34,2738.14,0.0,0.0,0.0,0.0,64.91,0.0,0.0
2022-11-09 10:01:35,2737.8,0.0,0.0,0.0,0.0,64.98,0.0,0.0
2022-11-09 10:01:36,2737.19,0.0,0.0,0.0,0.0,65.15,0.0,0.0
2022-11-09 10:01:37,2733.18,0.0,0.0,0.0,0.0,64.71,0.0,0.0
2022-11-09 10:01:38,2734.65,0.0,0.0,0.0,0.0,64.69,0.0,0.0
