Timestamp,Active (W)
2022-11-08 15:29:20,0.26
2022-11-08 15:29:21,0.14
2022-11-08 15:29:22,0.13
2022-11-08 15:29:23,0.18
2022-11-08 15:29:24,0.14
2022-11-08 15:29:25,0.17
2022-11-08 15:29:26,0.16
2022-11-08 15:29:27,19.52
2022-11-08 15:29:28,14.95
2022-11-08 15:29:29,15.29
2022-11-08 15:29:30,15.12
2022-11-08 15:29:31,15.67
2022-11-08 15:29:32,15.13
2022-11-08 15:29:33,15.13
2022-11-08 15:29:34,15.9
2022-11-08 15:29:35,34.94
2022-11-08 15:29:36,315.32
2022-11-08 15:29:37,464.39
2022-11-08 15:29:38,219.34
2022-11-08 15:29:39,155.56
2022-11-08 15:29:40,155.02
2022-11-08 15:29:41,154.7
2022-11-08 15:29:42,154.92
2022-11-08 15:29:43,154.91
2022-11-08 15:29:44,1002.21
2022-11-08 15:29:45,1937.51
2022-11-08 15:29:46,1916.84
2022-11-08 15:29:47,1903.94
2022-11-08 15:29:48,1891.69
2022-11-08 15:29:49,1883.16
2022-11-08 15:29:50,1877.34
2022-11-08 15:29:51,1872.52
2022-11-08 15:29:52,1868.85
2022-11-08 15:29:53,1865.87
2022-11-08 15:29:54,1146.05
2022-11-08 15:29:55,174.19
2022-11-08 15:29:56,173.15
2022-11-08 15:29:57,173.29
2022-11-08 15:29:58,172.71
2022-11-08 15:29:59,172.94
2022-11-08 15:30:00,172.74
2022-11-08 15:30:01,172.44
2022-11-08 15:30:02,172.56
2022-11-08 15:30:03,172.1
2022-11-08 15:30:04,858.94
2022-11-08 15:30:05,1937.92
2022-11-08 15:30:06,1921.52
2022-11-08 15:30:07,1909.94
2022-11-08 15:30:08,1902.26
2022-11-08 15:30:09,1895.82
2022-11-08 15:30:10,1890.87
2022-11-08 15:30:11,1887.07
2022-11-08 15:30:12,1882.95
2022-11-08 15:30:13,1879.12
2022-11-08 15:30:14,1330.26
2022-11-08 15:30:15,172.35
2022-11-08 15:30:16,172.17
2022-11-08 15:30:17,172.03
2022-11-08 15:30:18,172.02
2022-11-08 15:30:19,171.99
2022-11-08 15:30:20,171.7
2022-11-08 15:30:21,171.57
2022-11-08 15:30:22,171.61
2022-11-08 15:30:23,171.68
2022-11-08 15:30:24,630.32
2022-11-08 15:30:25,1940.24
2022-11-08 15:30:26,1924.23
2022-11-08 15:30:27,1911.12
2022-11-08 15:30:28,1900.62
2022-11-08 15:30:29,1893.25
2022-11-08 15:30:30,1887.38
2022-11-08 15:30:31,1882.18
2022-11-08 15:30:32,1878.35
2022-11-08 15:30:33,1877.25
2022-11-08 15:30:34,1870.35
2022-11-08 15:30:35,1855.8
2022-11-08 15:30:36,1854.63
2022-11-08 15:30:37,1853.83
2022-11-08 15:30:38,1852.53
2022-11-08 15:30:39,1852.55
2022-11-08 15:30:40,1852.29
2022-11-08 15:30:41,1852.32
2022-11-08 15:30:42,1851.03
2022-11-08 15:30:43,1851.55
2022-11-08 15:30:44,1851.48
2022-11-08 15:30:45,1852.04
2022-11-08 15:30:46,1852.48
2022-11-08 15:30:47,1851.1
2022-11-08 15:30:48,1850.69
2022-11-08 15:30:49,1849.34
2022-11-08 15:30:50,1847.79
2022-11-08 15:30:51,1846.18
2022-11-08 15:30:52,1845.51
2022-11-08 15:30:53,1844.77
2022-11-08 15:30:54,1844.9
2022-11-08 15:30:55,1845.0
2022-11-08 15:30:56,1845.42
2022-11-08 15:30:57,1845.72
2022-11-08 15:30:58,1847.06
2022-11-08 15:30:59,1846.43
2022-11-08 15:31:00,1847.73
2022-11-08 15:31:01,1847.72
2022-11-08 15:31:02,1846.84
2022-11-08 15:31:03,1843.21
2022-11-08 15:31:04,1842.85
2022-11-08 15:31:05,1845.0
2022-11-08 15:31:06,1845.25
2022-11-08 15:31:07,1844.64
2022-11-08 15:31:08,1843.86
2022-11-08 15:31:09,1842.63
2022-11-08 15:31:10,1843.14
2022-11-08 15:31:11,1842.43
2022-11-08 15:31:12,1840.5
2022-11-08 15:31:13,1843.59
2022-11-08 15:31:14,1843.12
2022-11-08 15:31:15,1844.7
2022-11-08 15:31:16,1846.46
2022-11-08 15:31:17,1847.37
2022-11-08 15:31:18,1845.4
2022-11-08 15:31:19,1845.26
2022-11-08 15:31:20,1844.37
2022-11-08 15:31:21,1843.96
2022-11-08 15:31:22,1843.75
2022-11-08 15:31:23,1843.06
2022-11-08 15:31:24,1842.72
2022-11-08 15:31:25,1843.05
2022-11-08 15:31:26,1844.7
2022-11-08 15:31:27,1844.6
2022-11-08 15:31:28,1845.17
2022-11-08 15:31:29,1845.88
2022-11-08 15:31:30,1846.94
2022-11-08 15:31:31,1844.56
2022-11-08 15:31:32,1845.4
2022-11-08 15:31:33,1844.47
2022-11-08 15:31:34,1843.03
2022-11-08 15:31:35,1842.89
2022-11-08 15:31:36,1843.24
2022-11-08 15:31:37,1843.34
2022-11-08 15:31:38,1844.81
2022-11-08 15:31:39,1845.37
2022-11-08 15:31:40,1844.67
2022-11-08 15:31:41,1845.04
2022-11-08 15:31:42,1844.87
2022-11-08 15:31:43,1846.06
2022-11-08 15:31:44,1845.06
2022-11-08 15:31:45,1844.47
2022-11-08 15:31:46,1844.02
2022-11-08 15:31:47,1844.13
2022-11-08 15:31:48,1844.87
2022-11-08 15:31:49,1845.12
2022-11-08 15:31:50,1844.67
2022-11-08 15:31:51,1845.34
2022-11-08 15:31:52,1844.6
2022-11-08 15:31:53,1843.23
2022-11-08 15:31:54,1844.78
2022-11-08 15:31:55,1843.64
2022-11-08 15:31:56,1845.51
2022-11-08 15:31:57,1844.43
2022-11-08 15:31:58,1843.74
2022-11-08 15:31:59,1845.63
2022-11-08 15:32:00,1844.43
2022-11-08 15:32:01,1845.22
2022-11-08 15:32:02,1844.48
2022-11-08 15:32:03,1844.94
2022-11-08 15:32:04,1845.03
2022-11-08 15:32:05,1845.67
2022-11-08 15:32:06,1846.06
2022-11-08 15:32:07,1845.45
2022-11-08 15:32:08,1844.55
2022-11-08 15:32:09,1844.84
2022-11-08 15:32:10,1842.96
2022-11-08 15:32:11,1842.75
2022-11-08 15:32:12,1843.44
2022-11-08 15:32:13,1843.17
2022-11-08 15:32:14,1844.29
2022-11-08 15:32:15,1842.75
2022-11-08 15:32:16,1840.21
2022-11-08 15:32:17,1842.08
2022-11-08 15:32:18,1841.26
2022-11-08 15:32:19,1842.4
2022-11-08 15:32:20,1842.54
2022-11-08 15:32:21,1843.19
2022-11-08 15:32:22,1842.14
2022-11-08 15:32:23,1841.34
2022-11-08 15:32:24,1841.74
2022-11-08 15:32:25,1840.47
2022-11-08 15:32:26,1841.19
2022-11-08 15:32:27,1841.05
2022-11-08 15:32:28,1840.22
2022-11-08 15:32:29,1841.25
2022-11-08 15:32:30,1839.9
2022-11-08 15:32:31,1839.11
2022-11-08 15:32:32,1841.03
2022-11-08 15:32:33,1839.49
2022-11-08 15:32:34,1842.72
2022-11-08 15:32:35,1842.88
2022-11-08 15:32:36,1844.02
2022-11-08 15:32:37,1845.15
2022-11-08 15:32:38,1842.07
2022-11-08 15:32:39,1844.65
2022-11-08 15:32:40,1846.71
2022-11-08 15:32:41,1842.68
2022-11-08 15:32:42,1843.55
2022-11-08 15:32:43,1842.71
2022-11-08 15:32:44,1842.1
2022-11-08 15:32:45,1845.12
2022-11-08 15:32:46,1843.79
2022-11-08 15:32:47,1845.63
2022-11-08 15:32:48,1847.22
2022-11-08 15:32:49,1846.25
2022-11-08 15:32:50,1847.32
2022-11-08 15:32:51,1847.17
2022-11-08 15:32:52,1845.68
2022-11-08 15:32:53,1846.83
2022-11-08 15:32:54,1844.9
2022-11-08 15:32:55,1843.63
2022-11-08 15:32:56,1842.11
2022-11-08 15:32:57,1842.34
2022-11-08 15:32:58,1842.51
2022-11-08 15:32:59,1842.36
2022-11-08 15:33:00,1841.78
2022-11-08 15:33:01,1841.89
2022-11-08 15:33:02,1841.5
2022-11-08 15:33:03,1840.25
2022-11-08 15:33:04,1841.2
2022-11-08 15:33:05,1844.12
2022-11-08 15:33:06,1843.17
2022-11-08 15:33:07,1843.62
2022-11-08 15:33:08,1842.44
2022-11-08 15:33:09,1841.98
2022-11-08 15:33:10,1841.23
2022-11-08 15:33:11,1841.73
2022-11-08 15:33:12,1840.44
2022-11-08 15:33:13,1841.21
2022-11-08 15:33:14,1840.27
2022-11-08 15:33:15,1839.25
2022-11-08 15:33:16,1839.52
2022-11-08 15:33:17,1840.43
2022-11-08 15:33:18,1841.19
2022-11-08 15:33:19,1841.32
2022-11-08 15:33:20,1843.09
2022-11-08 15:33:21,1842.1
2022-11-08 15:33:22,1841.96
2022-11-08 15:33:23,1842.17
2022-11-08 15:33:24,1841.49
2022-11-08 15:33:25,1840.16
2022-11-08 15:33:26,1840.27
2022-11-08 15:33:27,1839.58
2022-11-08 15:33:28,1839.04
2022-11-08 15:33:29,1839.32
2022-11-08 15:33:30,1839.26
