Timestamp,Apparent (VA),Active (W)
2022-11-01 16:17:37,16.11,9.68
2022-11-01 16:17:38,17.61,11.41
2022-11-01 16:17:39,17.55,11.44
2022-11-01 16:17:40,18.34,12.45
2022-11-01 16:17:41,17.89,11.79
2022-11-01 16:17:42,18.19,12.33
2022-11-01 16:17:43,18.54,12.84
2022-11-01 16:17:44,18.06,11.98
2022-11-01 16:17:45,17.91,11.85
2022-11-01 16:17:46,18.05,12.08
2022-11-01 16:17:47,17.59,11.48
2022-11-01 16:17:48,17.58,11.33
2022-11-01 16:17:49,27.55,15.53
2022-11-01 16:17:50,24.47,13.91
2022-11-01 16:17:51,24.46,13.75
2022-11-01 16:17:52,59.75,47.68
2022-11-01 16:17:53,36.06,26.08
2022-11-01 16:17:54,41.7,30.34
2022-11-01 16:17:55,33.41,21.76
2022-11-01 16:17:56,33.49,22.22
2022-11-01 16:17:57,70.45,52.82
2022-11-01 16:17:58,32.61,20.77
2022-11-01 16:17:59,69.08,51.84
2022-11-01 16:18:00,32.85,20.75
2022-11-01 16:18:01,68.32,51.16
2022-11-01 16:18:02,34.21,22.2
2022-11-01 16:18:03,67.51,49.91
2022-11-01 16:18:04,34.22,22.8
2022-11-01 16:18:05,30.3,20.2
2022-11-01 16:18:06,30.58,20.39
2022-11-01 16:18:07,30.35,20.15
2022-11-01 16:18:08,30.51,20.24
2022-11-01 16:18:09,30.74,20.28
2022-11-01 16:18:10,30.52,20.25
2022-11-01 16:18:11,30.63,20.4
2022-11-01 16:18:12,30.4,20.26
2022-11-01 16:18:13,30.43,20.21
2022-11-01 16:18:14,30.41,20.2
2022-11-01 16:18:15,30.11,19.95
2022-11-01 16:18:16,30.81,20.44
2022-11-01 16:18:17,29.85,19.55
2022-11-01 16:18:18,29.67,19.38
2022-11-01 16:18:19,29.87,19.61
2022-11-01 16:18:20,29.92,19.67
2022-11-01 16:18:21,29.73,19.51
2022-11-01 16:18:22,29.63,19.4
2022-11-01 16:18:23,29.48,19.3
2022-11-01 16:18:24,29.62,19.34
2022-11-01 16:18:25,29.87,19.52
2022-11-01 16:18:26,29.63,19.31
2022-11-01 16:18:27,29.71,19.44
2022-11-01 16:18:28,29.81,19.39
2022-11-01 16:18:29,29.84,19.58
2022-11-01 16:18:30,29.95,19.51
2022-11-01 16:18:31,29.88,19.62
2022-11-01 16:18:32,29.45,19.36
2022-11-01 16:18:33,29.92,19.58
2022-11-01 16:18:34,29.9,19.62
2022-11-01 16:18:35,29.77,19.55
2022-11-01 16:18:36,29.77,19.46
2022-11-01 16:18:37,29.56,19.43
2022-11-01 16:18:38,29.8,19.51
2022-11-01 16:18:39,29.87,19.63
2022-11-01 16:18:40,29.76,19.4
2022-11-01 16:18:41,29.69,19.54
2022-11-01 16:18:42,29.52,19.43
2022-11-01 16:18:43,29.81,19.54
2022-11-01 16:18:44,29.63,19.36
2022-11-01 16:18:45,29.59,19.48
2022-11-01 16:18:46,29.87,19.61
2022-11-01 16:18:47,29.49,19.4
2022-11-01 16:18:48,30.0,19.66
2022-11-01 16:18:49,29.63,19.57
2022-11-01 16:18:50,29.9,19.57
2022-11-01 16:18:51,29.83,19.48
2022-11-01 16:18:52,29.48,19.3
2022-11-01 16:18:53,30.08,19.62
2022-11-01 16:18:54,29.16,19.2
2022-11-01 16:18:55,29.63,19.39
2022-11-01 16:18:56,29.53,19.51
2022-11-01 16:18:57,29.51,19.5
2022-11-01 16:18:58,29.89,19.4
2022-11-01 16:18:59,29.42,19.39
2022-11-01 16:19:00,30.13,19.67
2022-11-01 16:19:01,29.81,19.61
2022-11-01 16:19:02,29.42,19.48
2022-11-01 16:19:03,30.15,19.83
2022-11-01 16:19:04,29.57,19.49
2022-11-01 16:19:05,29.6,19.39
2022-11-01 16:19:06,29.71,19.38
2022-11-01 16:19:07,29.6,19.53
2022-11-01 16:19:08,30.32,19.96
2022-11-01 16:19:09,29.85,19.62
2022-11-01 16:19:10,29.87,19.64
2022-11-01 16:19:11,29.69,19.54
2022-11-01 16:19:12,29.57,19.52
2022-11-01 16:19:13,29.85,19.57
2022-11-01 16:19:14,29.49,19.27
2022-11-01 16:19:15,29.82,19.51
2022-11-01 16:19:16,29.28,19.14
2022-11-01 16:19:17,29.52,19.47
2022-11-01 16:19:18,29.61,19.27
2022-11-01 16:19:19,29.46,19.58
2022-11-01 16:19:20,29.76,19.58
2022-11-01 16:19:21,29.39,19.53
2022-11-01 16:19:22,29.67,19.85
2022-11-01 16:19:23,30.23,19.91
2022-11-01 16:19:24,29.83,19.82
2022-11-01 16:19:25,30.0,19.9
2022-11-01 16:19:26,29.94,19.86
2022-11-01 16:19:27,29.49,19.55
2022-11-01 16:19:28,30.0,19.62
2022-11-01 16:19:29,29.47,19.67
2022-11-01 16:19:30,30.05,19.98
2022-11-01 16:19:31,30.18,19.95
2022-11-01 16:19:32,29.75,19.98
2022-11-01 16:19:33,29.91,19.55
2022-11-01 16:19:34,29.44,19.33
2022-11-01 16:19:35,29.51,19.44
2022-11-01 16:19:36,29.29,19.25
2022-11-01 16:19:37,29.42,19.34
2022-11-01 16:19:38,29.67,19.43
2022-11-01 16:19:39,29.39,19.45
2022-11-01 16:19:40,29.34,19.3
2022-11-01 16:19:41,29.52,19.37
2022-11-01 16:19:42,29.29,19.32
2022-11-01 16:19:43,29.86,19.69
2022-11-01 16:19:44,29.47,19.55
2022-11-01 16:19:45,30.11,20.06
2022-11-01 16:19:46,29.79,19.81
2022-11-01 16:19:47,29.43,19.56
2022-11-01 16:19:48,29.68,19.61
2022-11-01 16:19:49,29.12,19.46
2022-11-01 16:19:50,29.33,19.54
2022-11-01 16:19:51,29.43,19.39
2022-11-01 16:19:52,29.32,19.49
2022-11-01 16:19:53,29.77,19.63
2022-11-01 16:19:54,29.53,19.64
2022-11-01 16:19:55,29.39,19.5
2022-11-01 16:19:56,29.64,19.49
2022-11-01 16:19:57,29.29,19.36
2022-11-01 16:19:58,30.21,20.04
2022-11-01 16:19:59,29.76,19.72
2022-11-01 16:20:00,29.36,19.29
2022-11-01 16:20:01,29.43,19.09
2022-11-01 16:20:02,29.25,19.3
2022-11-01 16:20:03,29.41,19.45
2022-11-01 16:20:04,29.29,19.32
2022-11-01 16:20:05,29.07,19.26
2022-11-01 16:20:06,29.48,19.23
2022-11-01 16:20:07,29.27,19.4
2022-11-01 16:20:08,29.4,19.43
2022-11-01 16:20:09,29.48,19.39
2022-11-01 16:20:10,29.04,19.28
2022-11-01 16:20:11,29.41,19.34
2022-11-01 16:20:12,29.06,19.17
2022-11-01 16:20:13,29.62,19.63
2022-11-01 16:20:14,29.84,19.92
2022-11-01 16:20:15,29.29,19.47
2022-11-01 16:20:16,29.49,19.41
2022-11-01 16:20:17,29.35,19.64
2022-11-01 16:20:18,29.47,19.43
2022-11-01 16:20:19,29.45,19.45
2022-11-01 16:20:20,29.28,19.52
2022-11-01 16:20:21,29.78,19.72
2022-11-01 16:20:22,29.36,19.61
2022-11-01 16:20:23,29.49,19.6
2022-11-01 16:20:24,29.59,19.5
2022-11-01 16:20:25,29.32,19.8
2022-11-01 16:20:26,29.76,19.65
2022-11-01 16:20:27,29.52,19.65
2022-11-01 16:20:28,29.65,19.82
2022-11-01 16:20:29,29.38,19.31
2022-11-01 16:20:30,28.89,19.03
2022-11-01 16:20:31,29.26,19.28
2022-11-01 16:20:32,29.19,19.29
2022-11-01 16:20:33,29.04,19.31
2022-11-01 16:20:34,29.3,19.42
2022-11-01 16:20:35,29.04,19.37
2022-11-01 16:20:36,29.26,19.32
2022-11-01 16:20:37,29.43,19.3
2022-11-01 16:20:38,28.96,19.14
