Timestamp,Active (W)
2022-11-01 16:17:37,0.0
2022-11-01 16:17:38,0.0
2022-11-01 16:17:39,0.0
2022-11-01 16:17:40,0.0
2022-11-01 16:17:41,0.0
2022-11-01 16:17:42,0.0
2022-11-01 16:17:43,0.0
2022-11-01 16:17:44,0.0
2022-11-01 16:17:45,0.0
2022-11-01 16:17:46,0.0
2022-11-01 16:17:47,0.0
2022-11-01 16:17:48,0.0
2022-11-01 16:17:49,11.6
2022-11-01 16:17:50,11.54
2022-11-01 16:17:51,11.48
2022-11-01 16:17:52,46.37
2022-11-01 16:17:53,24.84
2022-11-01 16:17:54,28.62
2022-11-01 16:17:55,20.47
2022-11-01 16:17:56,21.62
2022-11-01 16:17:57,52.91
2022-11-01 16:17:58,19.84
2022-11-01 16:17:59,51.58
2022-11-01 16:18:00,19.88
2022-11-01 16:18:01,51.01
2022-11-01 16:18:02,21.46
2022-11-01 16:18:03,49.64
2022-11-01 16:18:04,22.36
2022-11-01 16:18:05,20.75
2022-11-01 16:18:06,20.58
2022-11-01 16:18:07,20.47
2022-11-01 16:18:08,20.37
2022-11-01 16:18:09,20.53
2022-11-01 16:18:10,20.27
2022-11-01 16:18:11,20.15
2022-11-01 16:18:12,20.34
2022-11-01 16:18:13,20.41
2022-11-01 16:18:14,20.35
2022-11-01 16:18:15,20.32
2022-11-01 16:18:16,20.31
2022-11-01 16:18:17,20.56
2022-11-01 16:18:18,21.06
2022-11-01 16:18:19,20.63
2022-11-01 16:18:20,20.89
2022-11-01 16:18:21,20.87
2022-11-01 16:18:22,20.71
2022-11-01 16:18:23,20.74
2022-11-01 16:18:24,20.47
2022-11-01 16:18:25,20.64
2022-11-01 16:18:26,20.58
2022-11-01 16:18:27,20.6
2022-11-01 16:18:28,20.67
2022-11-01 16:18:29,20.74
2022-11-01 16:18:30,20.53
2022-11-01 16:18:31,20.61
2022-11-01 16:18:32,20.58
2022-11-01 16:18:33,20.35
2022-11-01 16:18:34,20.32
2022-11-01 16:18:35,20.32
2022-11-01 16:18:36,20.58
2022-11-01 16:18:37,20.82
2022-11-01 16:18:38,20.74
2022-11-01 16:18:39,20.59
2022-11-01 16:18:40,20.59
2022-11-01 16:18:41,20.7
2022-11-01 16:18:42,20.69
2022-11-01 16:18:43,20.65
2022-11-01 16:18:44,20.62
2022-11-01 16:18:45,20.56
2022-11-01 16:18:46,20.3
2022-11-01 16:18:47,20.84
2022-11-01 16:18:48,20.61
2022-11-01 16:18:49,20.69
2022-11-01 16:18:50,20.64
2022-11-01 16:18:51,20.74
2022-11-01 16:18:52,20.35
2022-11-01 16:18:53,20.34
2022-11-01 16:18:54,20.66
2022-11-01 16:18:55,20.04
2022-11-01 16:18:56,20.58
2022-11-01 16:18:57,20.54
2022-11-01 16:18:58,20.26
2022-11-01 16:18:59,20.71
2022-11-01 16:19:00,20.41
2022-11-01 16:19:01,20.23
2022-11-01 16:19:02,20.45
2022-11-01 16:19:03,20.11
2022-11-01 16:19:04,20.26
2022-11-01 16:19:05,20.34
2022-11-01 16:19:06,20.42
2022-11-01 16:19:07,20.61
2022-11-01 16:19:08,19.94
2022-11-01 16:19:09,20.36
2022-11-01 16:19:10,20.21
2022-11-01 16:19:11,20.35
2022-11-01 16:19:12,20.4
2022-11-01 16:19:13,20.21
2022-11-01 16:19:14,20.5
2022-11-01 16:19:15,19.91
2022-11-01 16:19:16,20.51
2022-11-01 16:19:17,20.41
2022-11-01 16:19:18,20.22
2022-11-01 16:19:19,20.2
2022-11-01 16:19:20,20.05
2022-11-01 16:19:21,20.24
2022-11-01 16:19:22,19.94
2022-11-01 16:19:23,20.01
2022-11-01 16:19:24,20.02
2022-11-01 16:19:25,19.91
2022-11-01 16:19:26,20.08
2022-11-01 16:19:27,19.98
