Timestamp,Active (W),Apparent (VA)
2022-09-29 11:01:44,5534.66,5596.32
2022-09-29 11:01:45,5578.1,5639.67
2022-09-29 11:01:46,5566.57,5640.429999999999
2022-09-29 11:01:47,5541.17,5604.49
2022-09-29 11:01:48,5552.37,5619.0599999999995
2022-09-29 11:01:49,5563.26,5636.48
2022-09-29 11:01:50,5514.259999999999,5585.75
2022-09-29 11:01:51,4655.25,4715.7
2022-09-29 11:01:52,2273.53,2304.66
2022-09-29 11:01:53,2259.79,2287.1099999999997
2022-09-29 11:01:54,2236.36,2257.33
2022-09-29 11:01:55,2274.64,2305.4300000000003
2022-09-29 11:01:56,2263.2000000000003,2290.0499999999997
2022-09-29 11:01:57,2242.58,2264.17
2022-09-29 11:01:58,2277.15,2307.96
2022-09-29 11:01:59,2270.83,2299.3399999999997
2022-09-29 11:02:00,2242.5499999999997,2264.8999999999996
2022-09-29 11:02:01,2266.52,2296.25
2022-09-29 11:02:02,2274.82,2305.65
2022-09-29 11:02:03,2242.31,2264.9700000000003
2022-09-29 11:02:04,2259.09,2287.02
2022-09-29 11:02:05,2279.4199999999996,2311.35
2022-09-29 11:02:06,2239.25,2262.0299999999997
2022-09-29 11:02:07,2255.43,2282.8100000000004
2022-09-29 11:02:08,2270.19,2300.27
2022-09-29 11:02:09,2248.3999999999996,2272.91
2022-09-29 11:02:10,2246.2999999999997,2271.1
2022-09-29 11:02:11,243.37,284.75
2022-09-29 11:02:12,95.52,131.04
2022-09-29 11:02:13,65.84,92.97
2022-09-29 11:02:14,103.38,139.64999999999998
2022-09-29 11:02:15,91.64999999999999,125.23
2022-09-29 11:02:16,69.32,97.14999999999999
2022-09-29 11:02:17,107.35,144.8
2022-09-29 11:02:18,97.59,132.49
2022-09-29 11:02:19,68.94,96.64
2022-09-29 11:02:20,98.27,133.43
2022-09-29 11:02:21,104.84,141.17000000000002
2022-09-29 11:02:22,71.57000000000001,99.97999999999999
2022-09-29 11:02:23,92.33,125.86
2022-09-29 11:02:24,106.62,142.42
